measuredTime,roadStationId,id,sensorValue,timestamp,latitude,longitude,temperature,visibility,uvIndex,drivingDifficultyIndex,precip6Hour,relativeHumidity,snow6Hour,snowMtd,windSpeed,startTime,endTime
2022-02-23T17:03:26Z,23109.0,5054.0,1380.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T17:03:26Z,23109.0,5071.0,40.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T17:03:26Z,23109.0,5057.0,94.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T17:03:26Z,23109.0,5056.0,91.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T17:03:26Z,23109.0,5067.0,43.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T17:03:26Z,23109.0,5055.0,1281.0,2022-02-23 17:00:00,60.254734,25.06756,-4.0,16.09,0.0,0.0,0.0,90.4,0.0,50.6,7.9,,
2022-02-23T18:03:26Z,23109.0,5054.0,1046.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T18:03:26Z,23109.0,5055.0,1041.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T18:03:26Z,23109.0,5067.0,33.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T18:03:26Z,23109.0,5071.0,33.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T18:03:26Z,23109.0,5056.0,91.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T18:03:26Z,23109.0,5057.0,95.0,2022-02-23 18:00:00,60.254734,25.06756,-3.3,16.09,0.0,0.0,0.0,92.7,0.0,50.6,9.0,,
2022-02-23T19:03:26Z,23109.0,5056.0,92.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T19:03:26Z,23109.0,5057.0,95.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T19:03:26Z,23109.0,5054.0,922.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T19:03:26Z,23109.0,5071.0,30.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T19:03:26Z,23109.0,5067.0,29.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T19:03:26Z,23109.0,5055.0,966.0,2022-02-23 19:00:00,60.254734,25.06756,-2.3,16.09,0.0,0.0,0.0,93.7,0.0,50.6,15.8,,
2022-02-23T20:03:26Z,23109.0,5067.0,21.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T20:03:26Z,23109.0,5057.0,95.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T20:03:26Z,23109.0,5056.0,91.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T20:03:26Z,23109.0,5071.0,18.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T20:03:26Z,23109.0,5055.0,567.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T20:03:26Z,23109.0,5054.0,675.0,2022-02-23 20:00:00,60.254734,25.06756,-1.5,16.09,0.0,0.0,0.0,93.2,0.0,50.6,17.6,,
2022-02-23T21:03:26Z,23109.0,5067.0,13.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
2022-02-23T21:03:26Z,23109.0,5057.0,96.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
2022-02-23T21:03:26Z,23109.0,5056.0,91.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
2022-02-23T21:03:26Z,23109.0,5055.0,377.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
2022-02-23T21:03:26Z,23109.0,5071.0,12.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
2022-02-23T21:03:26Z,23109.0,5054.0,429.0,2022-02-23 21:00:00,60.254734,25.06756,-0.8,16.09,0.0,0.0,0.0,90.0,0.0,50.6,25.2,,
